Year,Region,Household Type,Measure,Value,Flags
"2016","Northland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2017","Northland Region","Couple with three or more dependent children","Median Government Transfer Income",49,
"2018","Northland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"1998","Northland Region","Couple with three or more dependent children","Number of households (000)",5,
"1999","Northland Region","Couple with three or more dependent children","Number of households (000)",3.5,
"2000","Northland Region","Couple with three or more dependent children","Number of households (000)",4.3,
"2001","Northland Region","Couple with three or more dependent children","Number of households (000)",3.5,
"2002","Northland Region","Couple with three or more dependent children","Number of households (000)",4.8,
"2003","Northland Region","Couple with three or more dependent children","Number of households (000)",4.8,
"2004","Northland Region","Couple with three or more dependent children","Number of households (000)",2.8,
"2005","Northland Region","Couple with three or more dependent children","Number of households (000)",3.2,
"2006","Northland Region","Couple with three or more dependent children","Number of households (000)",3.4,
"2007","Northland Region","Couple with three or more dependent children","Number of households (000)",3.3,
"2008","Northland Region","Couple with three or more dependent children","Number of households (000)",2.6,
"2009","Northland Region","Couple with three or more dependent children","Number of households (000)",2.4,
"2010","Northland Region","Couple with three or more dependent children","Number of households (000)",2.8,
"2011","Northland Region","Couple with three or more dependent children","Number of households (000)",2.7,
"2012","Northland Region","Couple with three or more dependent children","Number of households (000)",4.5,
"2013","Northland Region","Couple with three or more dependent children","Number of households (000)",4.4,
"2014","Northland Region","Couple with three or more dependent children","Number of households (000)",2.9,
"2015","Northland Region","Couple with three or more dependent children","Number of households (000)",4.1,
"2016","Northland Region","Couple with three or more dependent children","Number of households (000)",4.9,
"2017","Northland Region","Couple with three or more dependent children","Number of households (000)",4.7,
"2018","Northland Region","Couple with three or more dependent children","Number of households (000)",3.1,
"1998","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",595,
"1999","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",550,
"2000","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",756,
"2001","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",690,
"2002","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",742,
"2003","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",729,
"2004","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",617,
"2005","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",810,
"2006","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",893,
"2007","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",850,
"2008","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",1343,
"2009","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",767,
"2010","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",810,
"2011","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",720,
"2012","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",1170,
"2013","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",1125,
"2014","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",1173,
"2015","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",1570,
"2016","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",1407,
"2017","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",1465,
"2018","Auckland Region","Couple with three or more dependent children","Median Wage and Salary Income",1602,
"1998","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"1999","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2000","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2001","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2002","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2003","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2004","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2005","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2006","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2007","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2008","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2009","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2010","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2011","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2012","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2013","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2014","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2015","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2016","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2017","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2018","Auckland Region","Couple with three or more dependent children","Median Self-employment Income",0,
"1998","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"1999","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2000","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2001","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2002","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2003","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2004","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2005","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2006","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2007","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2008","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2009","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",19,
"2010","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2011","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2012","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",40,
"2013","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",20,
"2014","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2015","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2016","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2017","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2018","Auckland Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"1998","Auckland Region","Couple with three or more dependent children","Number of households (000)",28.4,
"1999","Auckland Region","Couple with three or more dependent children","Number of households (000)",28.7,
"2000","Auckland Region","Couple with three or more dependent children","Number of households (000)",27.6,
"2001","Auckland Region","Couple with three or more dependent children","Number of households (000)",26.1,
"2002","Auckland Region","Couple with three or more dependent children","Number of households (000)",26.3,
"2003","Auckland Region","Couple with three or more dependent children","Number of households (000)",28.4,
"2004","Auckland Region","Couple with three or more dependent children","Number of households (000)",27.6,
"2005","Auckland Region","Couple with three or more dependent children","Number of households (000)",28.4,
"2006","Auckland Region","Couple with three or more dependent children","Number of households (000)",23.8,
"2007","Auckland Region","Couple with three or more dependent children","Number of households (000)",21.2,
"2008","Auckland Region","Couple with three or more dependent children","Number of households (000)",25.3,
"2009","Auckland Region","Couple with three or more dependent children","Number of households (000)",23.5,
"2010","Auckland Region","Couple with three or more dependent children","Number of households (000)",22.7,
"2011","Auckland Region","Couple with three or more dependent children","Number of households (000)",23.6,
"2012","Auckland Region","Couple with three or more dependent children","Number of households (000)",24.6,
"2013","Auckland Region","Couple with three or more dependent children","Number of households (000)",20.6,
"2014","Auckland Region","Couple with three or more dependent children","Number of households (000)",25.6,
"2015","Auckland Region","Couple with three or more dependent children","Number of households (000)",20.8,
"2016","Auckland Region","Couple with three or more dependent children","Number of households (000)",24.2,
"2017","Auckland Region","Couple with three or more dependent children","Number of households (000)",26.2,
"2018","Auckland Region","Couple with three or more dependent children","Number of households (000)",24.1,
"1998","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",493,
"1999","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",440,
"2000","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",536,
"2001","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",600,
"2002","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",752,
"2003","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",700,
"2004","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",801,
"2005","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",717,
"2006","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",821,
"2007","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",804,
"2008","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",924,
"2009","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",959,
"2010","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",900,
"2011","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",997,
"2012","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",997,
"2013","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",1093,
"2014","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",979,
"2015","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",1252,
"2016","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",1424,
"2017","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",1533,
"2018","Waikato Region","Couple with three or more dependent children","Median Wage and Salary Income",1438,
"1998","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"1999","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2000","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2001","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2002","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2003","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2004","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2005","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2006","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2007","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2008","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2009","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2010","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2011","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2012","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2013","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2014","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2015","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2016","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2017","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2018","Waikato Region","Couple with three or more dependent children","Median Self-employment Income",0,
"1998","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"1999","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2000","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2001","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2002","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2003","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2004","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2005","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2006","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2007","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2008","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2009","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2010","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",25,
"2011","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",50,
"2012","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2013","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",45,
"2014","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2015","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2016","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2017","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2018","Waikato Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"1998","Waikato Region","Couple with three or more dependent children","Number of households (000)",9.7,
"1999","Waikato Region","Couple with three or more dependent children","Number of households (000)",10.5,
"2000","Waikato Region","Couple with three or more dependent children","Number of households (000)",8.4,
"2001","Waikato Region","Couple with three or more dependent children","Number of households (000)",11.4,
"2002","Waikato Region","Couple with three or more dependent children","Number of households (000)",10.3,
"2003","Waikato Region","Couple with three or more dependent children","Number of households (000)",9.5,
"2004","Waikato Region","Couple with three or more dependent children","Number of households (000)",11,
"2005","Waikato Region","Couple with three or more dependent children","Number of households (000)",10.6,
"2006","Waikato Region","Couple with three or more dependent children","Number of households (000)",8.6,
"2007","Waikato Region","Couple with three or more dependent children","Number of households (000)",8.8,
"2008","Waikato Region","Couple with three or more dependent children","Number of households (000)",9.7,
"2009","Waikato Region","Couple with three or more dependent children","Number of households (000)",9.2,
"2010","Waikato Region","Couple with three or more dependent children","Number of households (000)",10.6,
"2011","Waikato Region","Couple with three or more dependent children","Number of households (000)",8.2,
"2012","Waikato Region","Couple with three or more dependent children","Number of households (000)",8.6,
"2013","Waikato Region","Couple with three or more dependent children","Number of households (000)",9.1,
"2014","Waikato Region","Couple with three or more dependent children","Number of households (000)",8.6,
"2015","Waikato Region","Couple with three or more dependent children","Number of households (000)",5.8,
"2016","Waikato Region","Couple with three or more dependent children","Number of households (000)",9,
"2017","Waikato Region","Couple with three or more dependent children","Number of households (000)",10.2,
"2018","Waikato Region","Couple with three or more dependent children","Number of households (000)",10.8,
"1998","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",556,
"1999","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",580,
"2000","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",480,
"2001","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",548,
"2002","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",700,
"2003","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",749,
"2004","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",864,
"2005","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",844,
"2006","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",665,
"2007","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",894,
"2008","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",1118,
"2009","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",1076,
"2010","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",880,
"2011","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",845,
"2012","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",1213,
"2013","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",1329,
"2014","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",1290,
"2015","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",1304,
"2016","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",1515,
"2017","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",1381,
"2018","Bay of Plenty Region","Couple with three or more dependent children","Median Wage and Salary Income",1188,
"1998","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"1999","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2000","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2001","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2002","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2003","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2004","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2005","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2006","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2007","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2008","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2009","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2010","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2011","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2012","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2013","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2014","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2015","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2016","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2017","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"2018","Bay of Plenty Region","Couple with three or more dependent children","Median Self-employment Income",0,
"1998","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"1999","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2000","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2001","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2002","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2003","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2004","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2005","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2006","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2007","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",144,
"2008","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",150,
"2009","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",130,
"2010","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",180,
"2011","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",203,
"2012","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",150,
"2013","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2014","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",50,
"2015","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2016","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2017","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",0,
"2018","Bay of Plenty Region","Couple with three or more dependent children","Median Government Transfer Income",72,
"1998","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",5.5,
"1999","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",6.5,
"2000","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",7,
"2001","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",6,
"2002","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",6.1,
"2003","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",5.6,
"2004","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",5.7,
"2005","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",5.8,
"2006","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",6.3,
"2007","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",6.3,
"2008","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",6.5,
"2009","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",5.6,
"2010","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",7.3,
"2011","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",5.2,
"2012","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",6.6,
"2013","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",6.8,
"2014","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",5.8,
"2015","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",5.3,
"2016","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",4.3,
"2017","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",7.5,
"2018","Bay of Plenty Region","Couple with three or more dependent children","Number of households (000)",6.8,
"1998","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",495,
"1999","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",650,
"2000","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",587,
"2001","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",614,
"2002","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",671,
"2003","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",748,
"2004","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",800,
"2005","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",921,
"2006","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",815,
"2007","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",884,
"2008","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",999,
"2009","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",959,
"2010","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",900,
"2011","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",959,
"2012","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",1094,
"2013","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",1038,
"2014","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",1074,
"2015","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",1250,
"2016","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",1151,
"2017","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",1237,
"2018","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Wage and Salary Income",1196,
"1998","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"1999","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2000","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2001","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2002","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2003","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2004","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2005","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2006","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2007","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2008","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2009","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2010","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2011","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2012","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2013","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2014","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2015","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2016","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2017","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"2018","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Self-employment Income",0,
"1998","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"1999","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2000","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2001","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2002","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2003","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2004","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2005","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2006","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2007","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",165,
"2008","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",150,
"2009","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",120,
"2010","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",76,
"2011","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",150,
"2012","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",144,
"2013","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2014","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2015","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2016","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2017","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",0,
"2018","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Median Government Transfer Income",8,
"1998","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",7.3,
"1999","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",5,
"2000","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",4.5,
"2001","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",5.3,
"2002","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",5,
"2003","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",5.7,
"2004","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",5,
"2005","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",4.9,
"2006","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",4,
"2007","Gisborne/Hawkes Bay Regions","Couple with three or more dependent children","Number of households (000)",4.4,
